timestamp,wp_index,goal_x,goal_y,current_x,current_y,current_yaw_rad,distance_error,heading_error_rad,cmd_linear_x,cmd_angular_z
3789.0209,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.0375,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.0542,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.0709,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.0875,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.1042,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.1208,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.1375,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.1542,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.1709,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.1875,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.2042,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.2208,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.2375,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.2541,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.2708,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.2874,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.3041,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.3208,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.3375,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.3542,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.3708,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.3875,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.4041,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.4208,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.4375,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.4542,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.4708,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.4874,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.5041,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.5208,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.5375,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.5541,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.5708,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.5875,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.6042,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.6208,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.6375,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.6541,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.6707,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.6875,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.7042,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.7208,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.7374,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.7542,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.7709,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.7876,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.8041,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.8208,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.8374,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.8542,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.8708,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.8874,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.9041,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.9208,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.9375,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.9542,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.9709,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3789.9875,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.0041,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.0208,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.0375,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.0542,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.0708,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.0875,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.1041,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.1208,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.1374,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.1542,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.1709,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.1875,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.2042,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.2208,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.2374,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.2542,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.2708,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.2875,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.3042,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.3208,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.3375,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.3541,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.3708,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.3875,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.4041,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.4208,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.4374,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.4541,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.4707,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.4874,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.5042,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.5208,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.5375,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.5542,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.5709,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.5875,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.6041,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.6208,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.6375,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.6542,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.6708,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.6875,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.7042,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.7209,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.7375,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.7542,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.7708,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.7876,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.8042,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.8209,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.8375,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.8542,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.8708,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.8875,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.9041,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.9208,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.9375,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.9542,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.9709,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3790.9875,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
